Book_Title,Author,Genre,Price,Quantity_Sold,Revenue,Cost,Profit,Profit_Margin (%),Customer_Age,Customer_Gender,Customer_Region,Customer_Income,Customer_Education
LLM Fine-Tuning Handbook,Sarah Davis,Data Science,43.71,15,655.65,23.117615862225882,308.88576206661173,47.11137986221486,39,Other,UK,52016,PhD
Prompt Engineering Mastery,John Smith,Programming,95.56,12,1146.72,43.01092799622439,630.5888640453073,54.99065718268691,54,Male,India,81304,High School
Transformers Explained,Michael Brown,Data Science,75.88,16,1214.08,44.7490496078734,498.0952062740255,41.02655560375144,44,Other,Canada,31962,PhD
Deep Learning with Python,John Smith,Education,63.88,19,1213.72,28.463819930220232,672.9074213258156,55.44173461142731,46,Female,UK,53302,Bachelor
Machine Learning Foundations,Sophia Taylor,AI,24.04,8,192.32,14.289525076632023,78.00379938694381,40.559379880898405,20,Female,Germany,105382,Bachelor
Advanced AI Systems,Emily Johnson,Programming,24.04,17,408.68,18.465577694605823,94.76517919170101,23.188112751223695,61,Female,Canada,24011,High School
LLM Fine-Tuning Handbook,John Smith,Education,15.23,5,76.15,9.264519520054025,29.827402399729884,39.169274326631495,30,Other,Australia,39782,Master
Natural Language Processing Guide,Sarah Davis,Programming,87.96,16,1407.36,56.87492639107662,497.361177742774,35.340010924196655,62,Male,Australia,87691,Bachelor
Machine Learning Foundations,David Wilson,Data Science,64.1,6,384.59999999999997,29.656209524008442,206.66274285594932,53.73446252104767,27,Male,Australia,59725,High School
AI Ethics and Society,John Smith,Technology,73.73,8,589.84,30.781851078452064,343.5851913723835,58.25057496480122,53,Female,India,29196,PhD
Generative AI Applications,John Smith,Education,11.85,18,213.29999999999998,5.265229740732286,118.52586466681883,55.56768151280771,26,Female,Canada,63459,PhD
AI Ethics and Society,Michael Brown,AI,97.29,12,1167.48,62.20845479933278,420.97854240800666,36.05873697262537,44,Female,Germany,107245,High School
AI Ethics and Society,Sarah Davis,Data Science,84.92,15,1273.8,37.19535739137061,715.8696391294409,56.19953204030781,51,Female,Canada,98863,Master
Deep Learning with Python,Sophia Taylor,Education,29.11,9,261.99,16.022061210476632,117.79144910571031,44.96028440234753,68,Male,India,52769,High School
Intro to LLMs,David Wilson,AI,26.36,13,342.68,16.3441694201908,130.20579753751963,37.99632238167376,18,Other,UK,44700,High School
Advanced AI Systems,Emily Johnson,Education,26.51,15,397.65000000000003,14.7252742766709,176.77088584993652,44.453888054806114,49,Other,India,100356,Bachelor
LLM Fine-Tuning Handbook,John Smith,Data Science,37.38,10,373.8,17.39940019950919,199.8059980049081,53.45264794138793,42,Other,Australia,96427,High School
Intro to LLMs,Sophia Taylor,Education,57.23,16,915.68,29.15963061161293,449.1259102141931,49.04834769943573,46,Other,UK,25269,High School
Machine Learning Foundations,David Wilson,Programming,48.88,7,342.16,37.70246440225538,78.24274918421236,22.86729868605692,24,Female,Australia,63880,PhD
AI Ethics and Society,Emily Johnson,Data Science,36.21,17,615.57,24.274927279592774,202.8962362469229,32.96070897654579,66,Female,USA,28320,Bachelor
Deep Learning with Python,Sophia Taylor,Education,65.07,7,455.48999999999995,38.939133145160085,182.91606798387937,40.15808645280454,20,Female,India,69589,PhD
Machine Learning Foundations,Sarah Davis,Technology,22.55,14,315.7,9.134688307681781,187.81436369245506,59.49140440052425,37,Other,India,96276,PhD
Generative AI Applications,Sarah Davis,Education,36.29,15,544.35,28.921901953505152,110.52147069742273,20.303383980421184,37,Female,Germany,55897,Master
Advanced AI Systems,David Wilson,Programming,42.97,7,300.78999999999996,28.72896742096913,99.68722805321605,33.141802604214256,47,Female,Canada,78565,Master
LLM Fine-Tuning Handbook,Emily Johnson,AI,51.05,9,459.45,26.891556987383776,217.425987113546,47.3231009062022,52,Male,UK,50930,Bachelor
Generative AI Applications,Sarah Davis,AI,80.67,19,1532.73,60.64024112081025,380.56541870460524,24.829253600086464,52,Male,UK,77233,Bachelor
Deep Learning with Python,David Wilson,AI,27.97,16,447.52,14.07933296782486,222.25067251480223,49.662735188327275,66,Female,Germany,102821,Master
Advanced AI Systems,Sarah Davis,Technology,56.28,8,450.24,34.75890123056211,172.16879015550313,38.23933683268993,56,Male,Germany,34380,Master
Machine Learning Foundations,Sarah Davis,Programming,63.32,18,1139.76,41.43840030374901,393.86879453251777,34.55716945080699,44,Male,Canada,96896,Master
AI Ethics and Society,Sophia Taylor,Data Science,14.18,18,255.24,6.925871442885548,130.57431402806014,51.157465141850864,43,Female,Australia,90934,Master
AI Ethics and Society,Sophia Taylor,AI,64.68,7,452.76000000000005,51.18509439712903,94.46433922009686,20.864108847976155,31,Female,Canada,75830,Master
Prompt Engineering Mastery,Sarah Davis,Programming,25.35,3,76.05000000000001,17.72666592662704,22.87000222011889,30.072323760840092,34,Female,India,25529,PhD
AI Ethics and Society,Michael Brown,Education,15.85,18,285.3,9.876535849740183,107.52235470467673,37.68747097955721,35,Female,Australia,114598,Bachelor
Transformers Explained,Sophia Taylor,Technology,95.4,10,954.0,45.05148986636949,503.48510133630515,52.77621607298796,62,Other,USA,102987,PhD
AI Ethics and Society,Emily Johnson,Programming,96.91,7,678.37,40.85175953607149,392.40768324749956,57.845671720078954,69,Other,Canada,69178,PhD
Transformers Explained,David Wilson,Programming,82.76,17,1406.92,43.69926069577465,664.032568171831,47.19760669916065,46,Female,Germany,26937,High School
Natural Language Processing Guide,David Wilson,Data Science,37.42,14,523.88,26.241708043951814,156.49608738467458,29.87250656346388,37,Male,Australia,59886,PhD
Transformers Explained,Emily Johnson,Programming,18.79,3,56.37,9.540294038038022,27.74911788588593,49.22674806791898,44,Female,Canada,69699,Master
Advanced AI Systems,Emily Johnson,Data Science,71.58,12,858.96,44.0805737052273,329.9931155372724,38.41775118017979,35,Female,UK,96396,Master
Generative AI Applications,Emily Johnson,Technology,49.61,13,644.93,34.28938377504487,199.16801092441665,30.882112930770266,21,Male,USA,110678,High School
Advanced AI Systems,Emily Johnson,Technology,20.98,2,41.96,9.29786365331313,23.364272693373742,55.682251414141426,18,Other,India,45279,High School
Generative AI Applications,John Smith,Education,54.57,3,163.71,36.78668509577729,53.34994471266815,32.58807935536506,67,Female,UK,58106,High School
Prompt Engineering Mastery,David Wilson,Data Science,13.09,5,65.45,5.717035968049794,36.864820159751034,56.325164491598215,18,Female,UK,99737,High School
Natural Language Processing Guide,John Smith,Data Science,91.84,11,1010.24,72.19100620677736,216.13893172544908,21.394810314920125,43,Other,USA,60544,High School
Generative AI Applications,Sarah Davis,AI,33.29,8,266.32,19.819456235944738,107.76435011244209,40.46423479740241,62,Other,India,28997,PhD
Generative AI Applications,Sarah Davis,AI,69.63,12,835.56,32.04863095193551,450.97642857677386,53.972955691604895,37,Male,Germany,105711,High School
Deep Learning with Python,David Wilson,Education,38.05,7,266.34999999999997,20.431078940430574,123.33244741698596,46.30465455865815,69,Other,Australia,60860,PhD
Intro to LLMs,Sarah Davis,Technology,56.81,15,852.1500000000001,32.11847539378552,370.3728690932172,43.463342028189544,40,Other,India,23225,Bachelor
Intro to LLMs,Emily Johnson,AI,59.2,17,1006.4000000000001,41.633821062292405,298.62504194102917,29.672599556938508,27,Other,Canada,79470,High School
Deep Learning with Python,John Smith,Programming,26.64,4,106.56,18.57792386443235,32.2483045422706,30.263048556935622,28,Male,UK,83656,High School
AI Ethics and Society,Emily Johnson,Technology,97.26,13,1264.38,62.71093341964354,449.1378655446341,35.522379786506754,58,Other,Canada,71880,PhD
Deep Learning with Python,Sarah Davis,Programming,79.76,18,1435.68,35.28361345346617,800.5749578376091,55.76277149766028,58,Other,Germany,81078,Bachelor
Generative AI Applications,Sophia Taylor,Data Science,94.55,1,94.55,43.55235363344581,50.997646366554186,53.93722513649306,22,Male,Canada,108646,PhD
Generative AI Applications,John Smith,Technology,90.53,16,1448.48,39.607125610416894,814.7659902333297,56.24972317417773,18,Other,India,96290,PhD
Deep Learning with Python,Emily Johnson,Education,63.81,13,829.53,40.255758120631434,306.2051444317914,36.91308866849799,34,Other,Canada,76633,High School
Deep Learning with Python,David Wilson,Data Science,92.97,10,929.7,69.80702436292609,231.6297563707392,24.91446233954385,39,Male,Germany,46655,Master
AI Ethics and Society,Emily Johnson,Data Science,17.96,12,215.52,10.30042288003828,91.91492543954065,42.64797950980913,51,Female,Germany,63601,Master
Advanced AI Systems,Sophia Taylor,Programming,27.64,2,55.28,12.834337411276843,29.611325177446314,53.566073041690146,62,Male,Germany,23114,PhD
Natural Language Processing Guide,Sarah Davis,Data Science,14.07,3,42.21,8.768662205938387,15.90401338218484,37.678306994041314,58,Other,India,46502,High School
Machine Learning Foundations,John Smith,AI,39.28,10,392.8,28.466250831394035,108.13749168605966,27.529911325371604,46,Other,Germany,69768,Bachelor
Generative AI Applications,David Wilson,Technology,44.98,2,89.96,31.336883410740633,27.286233178518728,30.331517539482807,21,Other,UK,68128,Master
Natural Language Processing Guide,John Smith,AI,34.42,13,447.46000000000004,25.9038143345657,110.71041365064593,24.741968812999136,22,Male,Germany,40028,Bachelor
Deep Learning with Python,David Wilson,Programming,84.59,13,1099.67,43.23909536251269,537.5617602873351,48.88391611004529,28,Other,Canada,75565,Master
AI Ethics and Society,John Smith,Programming,42.11,18,757.98,20.1109589402584,395.98273907534883,52.241845309289005,68,Other,Australia,103123,High School
Transformers Explained,Sarah Davis,Technology,35.28,3,105.84,26.527970249612643,26.25608925116208,24.807340562322448,38,Male,Canada,55333,PhD
AI Ethics and Society,David Wilson,Data Science,58.84,7,411.88,39.01233952154355,138.79362334919512,33.69758748887907,52,Female,Australia,23174,Bachelor
LLM Fine-Tuning Handbook,Michael Brown,Education,22.68,14,317.52,11.892747253028531,151.02153845760054,47.56284279969783,29,Female,Canada,55398,Bachelor
LLM Fine-Tuning Handbook,John Smith,Programming,82.2,17,1397.4,57.2884039028241,423.49713365199034,30.306077977099637,43,Other,India,55929,PhD
Natural Language Processing Guide,John Smith,Technology,16.71,12,200.52,12.13225128186678,54.932984617598635,27.395264620785277,68,Male,Canada,24321,Bachelor
Intro to LLMs,Emily Johnson,Education,98.82,16,1581.12,63.83685988420428,559.7302418527314,35.4008703863547,36,Other,India,115971,Master
LLM Fine-Tuning Handbook,David Wilson,Data Science,79.5,12,954.0,53.674714694181304,309.9034236698244,32.484635604803394,62,Male,India,75421,PhD
LLM Fine-Tuning Handbook,Sophia Taylor,Programming,27.88,15,418.2,15.336898454344615,188.14652318483076,44.98960382229335,24,Male,Germany,92635,Master
Advanced AI Systems,Michael Brown,Technology,10.5,10,105.0,6.462521802840764,40.374781971592355,38.45217330627844,64,Female,UK,43760,Master
Transformers Explained,Sarah Davis,Technology,83.39,7,583.73,50.83985329874187,227.85102690880694,39.033633170953514,24,Female,Australia,31360,High School
Advanced AI Systems,Emily Johnson,Technology,73.62,5,368.1,54.421311353218975,95.99344323390517,26.07808835476913,43,Male,Germany,30313,Master
Transformers Explained,Michael Brown,Programming,75.61,1,75.61,55.647870619654334,19.962129380345665,26.401440788712687,57,Other,Germany,105998,High School
Prompt Engineering Mastery,David Wilson,Education,79.41,17,1349.97,58.21326242833948,360.3445387182288,26.692781226118274,22,Female,India,25801,Bachelor
Machine Learning Foundations,Michael Brown,Technology,16.66,3,49.980000000000004,6.7375146774450725,29.767455967664787,59.558735429501375,38,Other,India,34130,Bachelor
Generative AI Applications,John Smith,Data Science,42.26,13,549.38,29.574316869462088,164.91388069699286,30.01818062124447,31,Female,Australia,34271,High School
LLM Fine-Tuning Handbook,John Smith,Technology,20.43,14,286.02,14.371903459987132,84.81335156018014,29.6529443955598,21,Female,Canada,36075,Master
Generative AI Applications,Emily Johnson,Education,87.68,18,1578.2400000000002,58.86410207517554,518.6861626468406,32.86484708579434,40,Other,Canada,38984,PhD
LLM Fine-Tuning Handbook,David Wilson,Programming,66.1,4,264.4,46.43563755465,78.65744978139998,29.749413684341903,59,Female,Germany,108095,PhD
Advanced AI Systems,David Wilson,Technology,39.78,18,716.04,29.309432551255632,188.47021407739862,26.321185140131647,37,Female,USA,80942,High School
Machine Learning Foundations,Michael Brown,Technology,15.72,5,78.60000000000001,9.24536621219203,32.37316893903986,41.18723783592857,32,Other,USA,32861,Bachelor
Advanced AI Systems,Emily Johnson,Data Science,37.99,16,607.84,22.825155044170447,242.63751929327287,39.917991460462105,67,Female,Canada,118970,Bachelor
Advanced AI Systems,David Wilson,Data Science,39.27,1,39.27,17.667008405964125,21.602991594035878,55.011437723544375,69,Female,USA,102203,PhD
Transformers Explained,Sophia Taylor,Technology,75.66,14,1059.24,41.92701572454536,472.2617798563649,44.58496467810552,62,Female,Canada,91376,High School
Intro to LLMs,Sophia Taylor,Technology,67.38,15,1010.6999999999999,44.29197832898241,346.3203250652638,34.26539280352862,46,Other,India,81247,PhD
AI Ethics and Society,John Smith,Data Science,89.85,9,808.65,63.987567954733045,232.76188840740258,28.78400895410902,25,Male,Germany,89101,Master
Natural Language Processing Guide,Michael Brown,Education,52.5,15,787.5,25.56139105151542,404.0791342272687,51.31163609235158,58,Other,UK,40977,Master
Generative AI Applications,Sarah Davis,AI,20.76,17,352.92,9.448481354618291,192.29581697148907,54.48708403363058,65,Male,Germany,70617,High School
Prompt Engineering Mastery,John Smith,AI,74.19,4,296.76,49.35243452555661,99.35026189777355,33.47831981998031,36,Female,Canada,77473,High School
LLM Fine-Tuning Handbook,Emily Johnson,Technology,78.47,12,941.64,31.447005784079895,564.2759305910413,59.924804659003584,65,Male,Canada,106654,Master
Advanced AI Systems,David Wilson,Data Science,60.51,5,302.55,28.521330030574614,159.94334984712694,52.8650966277068,56,Other,Germany,108177,Bachelor
Intro to LLMs,John Smith,Programming,79.39,5,396.95,32.6791907542026,233.55404622898698,58.837144786241836,63,Other,Australia,92902,High School
Advanced AI Systems,Sarah Davis,Programming,54.44,11,598.8399999999999,25.41009032640767,319.32900640951556,53.32459528580515,45,Female,Canada,112172,Master
Machine Learning Foundations,Sarah Davis,AI,57.05,6,342.29999999999995,26.95770596790003,180.55376419259977,52.747228802979784,63,Male,USA,35630,Master
Transformers Explained,Sophia Taylor,Education,48.48,7,339.35999999999996,26.909766349399646,150.99163555420245,44.493056209984225,44,Female,USA,40056,Bachelor
Prompt Engineering Mastery,Emily Johnson,AI,12.29,14,172.06,6.893840144959109,75.54623797057248,43.90691501253776,21,Female,Canada,27382,Bachelor
AI Ethics and Society,John Smith,Technology,19.71,11,216.81,14.776685318291117,54.266461498797725,25.02950117559048,32,Other,Canada,75739,Bachelor
Machine Learning Foundations,Michael Brown,Education,12.83,13,166.79,7.749883044543971,66.04152042092838,39.59561150004699,52,Male,Australia,101685,Bachelor
Deep Learning with Python,John Smith,Programming,67.28,2,134.56,46.38026905215785,41.7994618956843,31.06380937550855,54,Male,USA,68639,PhD
Prompt Engineering Mastery,Sophia Taylor,Data Science,38.29,7,268.03,16.91096777390712,149.65322558265012,55.834505683188496,18,Male,Canada,79838,Bachelor
Advanced AI Systems,Sarah Davis,Data Science,55.77,4,223.08,27.337087756884085,113.73164897246367,50.982449781452246,20,Male,Canada,66041,PhD
Machine Learning Foundations,Emily Johnson,Technology,91.68,8,733.44,62.450341867570046,233.8372650594397,31.88226236085292,64,Female,Australia,20992,High School
AI Ethics and Society,Emily Johnson,AI,32.44,19,616.3599999999999,13.66118419103962,356.7975003702471,57.88784158125887,41,Female,Australia,92394,Master
Intro to LLMs,Michael Brown,Technology,46.93,13,610.09,27.906411315639737,247.30665289668343,40.53609351024986,44,Other,Germany,87657,PhD
Intro to LLMs,Emily Johnson,Data Science,78.0,14,1092.0,49.90031172868354,393.3956357984305,36.02524137348264,57,Female,Australia,47160,High School
Generative AI Applications,Sophia Taylor,Programming,30.59,10,305.9,19.603854100626158,109.86145899373838,35.914174237900745,53,Female,UK,65156,High School
AI Ethics and Society,Sophia Taylor,Data Science,16.93,11,186.23,6.927300997907181,110.029689023021,59.082687549278326,51,Other,USA,71375,PhD
Intro to LLMs,Sophia Taylor,Education,36.08,2,72.16,19.080662717035604,33.99867456592879,47.115679830832576,46,Other,Germany,106442,High School
Machine Learning Foundations,Emily Johnson,Data Science,24.51,9,220.59,16.044154342885907,76.19261091402683,34.54037395803383,41,Other,UK,39572,High School
Generative AI Applications,Emily Johnson,Data Science,93.67,17,1592.39,43.05072211403986,860.5277240613225,54.04001055403026,41,Female,Canada,24136,PhD
Intro to LLMs,Sophia Taylor,Education,82.73,3,248.19,56.10469463447194,79.87591609658418,32.18337406687787,59,Female,Canada,81868,High School
Prompt Engineering Mastery,Emily Johnson,AI,67.01,6,402.06000000000006,46.797779297041735,121.27332421774963,30.16299164745302,21,Other,Germany,102263,Bachelor
Transformers Explained,Emily Johnson,Data Science,88.43,5,442.15000000000003,70.10621420446105,91.6189289776948,20.7212323821542,20,Other,Australia,52167,Bachelor
Deep Learning with Python,Sarah Davis,Technology,82.33,5,411.65,39.842516574611274,212.43741712694361,51.60632020574363,51,Other,Canada,35479,Master
AI Ethics and Society,John Smith,Data Science,26.79,15,401.84999999999997,19.55810023471009,108.47849647934862,26.99477329335539,66,Female,India,51376,High School
Machine Learning Foundations,David Wilson,Technology,90.33,17,1535.61,54.931355917224806,601.7769494071782,39.188136923253836,40,Female,Germany,24823,Master
LLM Fine-Tuning Handbook,Emily Johnson,Education,58.54,9,526.86,32.16100015131197,237.41099863819232,45.06149615423307,69,Male,UK,90456,Bachelor
Advanced AI Systems,David Wilson,Data Science,82.67,3,248.01,37.11475461122899,136.66573616631302,55.10492970699288,40,Female,Germany,39585,Bachelor
Machine Learning Foundations,David Wilson,Education,90.65,17,1541.0500000000002,62.92943329123812,471.2496340489522,30.579775740498498,62,Female,USA,37272,Bachelor
Intro to LLMs,Sarah Davis,Education,38.62,10,386.2,19.091528191571676,195.2847180842832,50.56569603425252,22,Female,Australia,46619,High School
Machine Learning Foundations,Emily Johnson,AI,19.9,3,59.699999999999996,10.916519134909445,26.95044259527166,45.14311992507816,48,Other,Australia,95069,High School
LLM Fine-Tuning Handbook,Sophia Taylor,Data Science,30.51,18,549.1800000000001,12.967265337055485,315.76922393300134,57.49831092410527,58,Female,Germany,59895,Bachelor
Advanced AI Systems,David Wilson,Technology,48.44,18,871.92,34.903285360919,243.66086350345802,27.945323367219245,23,Other,Canada,23720,Master
Generative AI Applications,Emily Johnson,Technology,83.62,17,1421.54,59.08885294980353,417.02949985334,29.336459041134262,54,Male,Canada,39267,Master
Intro to LLMs,Michael Brown,Data Science,87.47,3,262.40999999999997,60.655750661520436,80.44274801543867,30.655366798307487,27,Male,India,35696,PhD
