Customer_ID,Age,Gender,Country,Income,Book_Name,Author,Units_Sold,Price_per_Unit,Cost_per_Unit,Revenue,Total_Cost,Profit,Profit_Margin (%)
1,56,Male,USA,63541,Competitive Programming Algorithms,Steven Skiena,13,20.09,11.28,261.17,146.64,114.53,43.85
2,46,Female,USA,43387,The Algorithm Design Manual,Steven Skiena,4,23.93,13.71,95.72,54.84,40.88,42.71
3,32,Female,USA,113980,Algorithms Unlocked,Narasimha Karumanchi,14,117.73,69.88,1648.22,978.32,669.9,40.64
4,60,Female,Australia,68908,Introduction to Algorithms,Steven Halim,16,44.24,17.92,707.84,286.72,421.12,59.49
5,25,Male,USA,105457,The Algorithm Design Manual,Robert Sedgewick,4,86.33,59.4,345.32,237.6,107.72,31.19
6,38,Male,India,33057,Algorithms in Python,Steven Skiena,1,103.91,42.95,103.91,42.95,60.96,58.67
7,56,Male,Germany,84028,Algorithms Unlocked,Steven Skiena,13,75.07,33.25,975.91,432.25,543.66,55.71
8,36,Male,UK,75731,The Algorithm Design Manual,Thomas H. Cormen,4,35.31,14.27,141.24,57.08,84.16,59.59
9,40,Male,Canada,44858,Grokking Algorithms,Steven Halim,18,92.81,52.91,1670.58,952.38,718.2,42.99
10,28,Male,India,68689,Advanced Algorithms,Steven Skiena,6,80.03,54.39,480.18,326.34,153.84,32.04
11,28,Male,UK,64638,The Algorithm Design Manual,Magnus Lie Hetland,3,93.13,55.86,279.39,167.58,111.81,40.02
12,41,Male,India,111598,Competitive Programming Algorithms,Steven Halim,13,96.97,62.72,1260.61,815.36,445.25,35.32
13,53,Female,India,66486,Algorithms Illuminated,Tim Roughgarden,16,117.54,47.48,1880.64,759.68,1120.96,59.61
14,57,Female,Canada,40567,Grokking Algorithms,Thomas H. Cormen,5,77.36,43.52,386.8,217.6,169.2,43.74
15,41,Male,Germany,49739,Introduction to Algorithms,Steven Skiena,4,54.16,29.13,216.64,116.52,100.12,46.21
16,20,Male,USA,77804,Introduction to Algorithms,Thomas H. Cormen,8,84.85,46.64,678.8,373.12,305.68,45.03
17,39,Female,Australia,23754,Introduction to Algorithms,Tim Roughgarden,19,26.84,11.32,509.96,215.08,294.88,57.82
18,19,Male,Germany,47044,Introduction to Algorithms,Narasimha Karumanchi,14,109.74,66.43,1536.36,930.02,606.34,39.47
19,41,Male,Australia,87260,Algorithms Illuminated,Narasimha Karumanchi,7,31.94,17.6,223.58,123.2,100.38,44.9
20,61,Male,Canada,86912,The Algorithm Design Manual,Steven Halim,14,52.78,33.23,738.92,465.22,273.7,37.04
21,47,Female,Canada,28706,Data Structures and Algorithms Made Easy,Tim Roughgarden,6,101.57,55.42,609.42,332.52,276.9,45.44
22,55,Female,Canada,28894,The Algorithm Design Manual,Aditya Bhargava,12,79.73,35.47,956.76,425.64,531.12,55.51
23,19,Female,UK,38037,Algorithms in Python,Aditya Bhargava,16,59.36,35.29,949.76,564.64,385.12,40.55
24,38,Female,Australia,103986,Advanced Algorithms,Steven Halim,17,67.34,30.42,1144.78,517.14,627.64,54.83
25,50,Female,Germany,101942,Algorithms Unlocked,Thomas H. Cormen,13,105.45,69.78,1370.85,907.14,463.71,33.83
26,29,Male,Germany,71612,Data Structures and Algorithms Made Easy,Thomas H. Cormen,14,54.0,31.53,756.0,441.42,314.58,41.61
27,39,Female,India,49725,Data Structures and Algorithms Made Easy,Thomas H. Cormen,7,106.96,47.83,748.72,334.81,413.91,55.28
28,61,Male,India,25926,The Algorithm Design Manual,Narasimha Karumanchi,14,28.81,19.84,403.34,277.76,125.58,31.14
29,42,Male,India,29496,Data Structures and Algorithms Made Easy,Aditya Bhargava,15,97.68,54.26,1465.2,813.9,651.3,44.45
30,44,Female,Canada,76447,Machine Learning Algorithms Explained,Chris Albon,12,104.75,44.19,1257.0,530.28,726.72,57.81
31,59,Female,Germany,49806,Machine Learning Algorithms Explained,Steven Skiena,17,38.18,22.45,649.06,381.65,267.41,41.2
32,45,Male,Australia,108199,Algorithms in Python,Steven Skiena,9,63.03,30.0,567.27,270.0,297.27,52.4
33,33,Male,Canada,61321,Algorithms Unlocked,Steven Skiena,15,36.55,23.43,548.25,351.45,196.8,35.9
34,32,Male,UK,85095,Competitive Programming Algorithms,Narasimha Karumanchi,12,90.66,58.51,1087.92,702.12,385.8,35.46
35,64,Female,India,42656,Algorithms Illuminated,Tim Roughgarden,2,73.53,51.01,147.06,102.02,45.04,30.63
36,61,Female,Canada,75147,The Algorithm Design Manual,Robert Sedgewick,5,83.53,45.99,417.65,229.95,187.7,44.94
37,20,Female,Canada,111396,Algorithms Illuminated,Aditya Bhargava,13,39.65,21.27,515.45,276.51,238.94,46.36
38,54,Female,UK,69666,Competitive Programming Algorithms,Aditya Bhargava,8,41.17,25.77,329.36,206.16,123.2,37.41
39,24,Female,USA,102368,The Algorithm Design Manual,Chris Albon,14,24.15,10.62,338.1,148.68,189.42,56.02
40,38,Male,Germany,58787,The Algorithm Design Manual,Thomas H. Cormen,15,52.21,29.45,783.15,441.75,341.4,43.59
41,26,Female,Australia,82946,Algorithms Unlocked,Thomas H. Cormen,11,75.97,42.84,835.67,471.24,364.43,43.61
42,56,Male,USA,41727,Algorithms Illuminated,Steven Halim,1,105.79,45.16,105.79,45.16,60.63,57.31
43,35,Male,India,115081,Machine Learning Algorithms Explained,Thomas H. Cormen,3,86.69,45.55,260.07,136.65,123.42,47.46
44,21,Male,Canada,88056,Introduction to Algorithms,Tim Roughgarden,17,63.54,41.68,1080.18,708.56,371.62,34.4
45,42,Female,UK,23081,Algorithms Illuminated,Steven Halim,19,115.31,75.74,2190.89,1439.06,751.83,34.32
46,31,Female,UK,54196,Advanced Algorithms,Aditya Bhargava,14,91.92,39.5,1286.88,553.0,733.88,57.03
47,26,Female,Germany,56735,Advanced Algorithms,Tim Roughgarden,8,113.02,48.28,904.16,386.24,517.92,57.28
48,43,Male,USA,100102,The Algorithm Design Manual,Steven Halim,13,72.76,34.84,945.88,452.92,492.96,52.12
49,19,Male,Germany,99578,Introduction to Algorithms,Chris Albon,3,45.89,30.4,137.67,91.2,46.47,33.75
50,37,Male,Canada,45498,Grokking Algorithms,Chris Albon,5,25.28,11.09,126.4,55.45,70.95,56.13
51,45,Male,Germany,96865,Competitive Programming Algorithms,Magnus Lie Hetland,9,92.61,57.05,833.49,513.45,320.04,38.4
52,64,Male,Australia,51656,Algorithms in Python,Robert Sedgewick,6,32.13,13.83,192.78,82.98,109.8,56.96
53,24,Male,UK,87695,Introduction to Algorithms,Chris Albon,2,50.28,29.51,100.56,59.02,41.54,41.31
54,61,Female,UK,57900,Algorithms in Python,Aditya Bhargava,13,73.25,37.12,952.25,482.56,469.69,49.32
55,25,Female,India,104899,Algorithms Illuminated,Thomas H. Cormen,5,76.44,48.67,382.2,243.35,138.85,36.33
56,64,Female,India,67701,Algorithms Illuminated,Steven Skiena,8,80.06,37.64,640.48,301.12,339.36,52.99
57,52,Female,Canada,39033,Algorithms in Python,Magnus Lie Hetland,1,36.63,21.68,36.63,21.68,14.95,40.81
58,31,Male,Australia,30805,Competitive Programming Algorithms,Steven Skiena,12,57.97,27.29,695.64,327.48,368.16,52.92
59,34,Male,USA,55851,Introduction to Algorithms,Robert Sedgewick,11,81.72,50.18,898.92,551.98,346.94,38.6
60,53,Female,Germany,46832,Grokking Algorithms,Steven Halim,7,116.98,77.45,818.86,542.15,276.71,33.79
61,57,Male,Canada,83437,The Algorithm Design Manual,Narasimha Karumanchi,15,92.76,40.63,1391.4,609.45,781.95,56.2
62,21,Female,India,33944,Algorithms Unlocked,Chris Albon,11,112.26,74.09,1234.86,814.99,419.87,34.0
63,19,Female,Germany,39873,Algorithms Illuminated,Thomas H. Cormen,16,96.22,55.62,1539.52,889.92,649.6,42.19
64,23,Female,India,60372,Advanced Algorithms,Robert Sedgewick,3,79.17,34.69,237.51,104.07,133.44,56.18
65,59,Male,Germany,109464,Competitive Programming Algorithms,Steven Skiena,14,39.2,20.71,548.8,289.94,258.86,47.17
66,21,Female,USA,35379,Algorithms Unlocked,Magnus Lie Hetland,3,86.67,38.85,260.01,116.55,143.46,55.17
67,46,Female,Canada,56751,Grokking Algorithms,Chris Albon,1,82.34,50.24,82.34,50.24,32.1,38.98
68,35,Female,Germany,109822,Data Structures and Algorithms Made Easy,Aditya Bhargava,15,80.25,50.37,1203.75,755.55,448.2,37.23
69,43,Male,Australia,25110,The Algorithm Design Manual,Chris Albon,1,68.98,29.78,68.98,29.78,39.2,56.83
70,61,Male,UK,74341,Algorithms Illuminated,Magnus Lie Hetland,17,72.87,40.21,1238.79,683.57,555.22,44.82
71,51,Female,Australia,32087,The Algorithm Design Manual,Magnus Lie Hetland,2,53.44,34.44,106.88,68.88,38.0,35.55
72,27,Male,Australia,43762,Algorithms Unlocked,Narasimha Karumanchi,6,71.93,48.97,431.58,293.82,137.76,31.92
73,53,Male,UK,102617,The Algorithm Design Manual,Chris Albon,8,39.76,22.03,318.08,176.24,141.84,44.59
74,31,Male,Australia,29596,Data Structures and Algorithms Made Easy,Chris Albon,16,100.52,68.86,1608.32,1101.76,506.56,31.5
75,48,Male,Germany,38313,Algorithms Unlocked,Narasimha Karumanchi,19,38.58,21.63,733.02,410.97,322.05,43.93
76,32,Male,Germany,86549,Algorithms Illuminated,Tim Roughgarden,1,28.5,14.77,28.5,14.77,13.73,48.18
77,25,Male,Germany,43705,Introduction to Algorithms,Tim Roughgarden,3,63.62,41.64,190.86,124.92,65.94,34.55
78,31,Male,UK,87364,Advanced Algorithms,Steven Halim,3,85.83,47.03,257.49,141.09,116.4,45.21
79,40,Male,Australia,93445,Algorithms Unlocked,Tim Roughgarden,5,63.77,34.54,318.85,172.7,146.15,45.84
80,57,Male,UK,98645,Machine Learning Algorithms Explained,Thomas H. Cormen,12,47.68,26.09,572.16,313.08,259.08,45.28
81,38,Male,Germany,22023,Data Structures and Algorithms Made Easy,Chris Albon,12,75.82,49.59,909.84,595.08,314.76,34.6
82,33,Female,Australia,79796,Algorithms Unlocked,Thomas H. Cormen,13,54.7,35.53,711.1,461.89,249.21,35.05
83,62,Female,Australia,100073,Algorithms Unlocked,Chris Albon,9,113.29,59.03,1019.61,531.27,488.34,47.89
84,35,Male,India,112197,Machine Learning Algorithms Explained,Thomas H. Cormen,7,112.26,56.13,785.82,392.91,392.91,50.0
85,64,Female,India,84429,Algorithms Illuminated,Thomas H. Cormen,4,70.24,38.46,280.96,153.84,127.12,45.24
