Book_ID,Book_Title,Author,Genre,Customer_ID,Age,Gender,Country,Income_Level,Price,Quantity,Cost,Sales,Profit,Profit_Margin (%),Purchase_Date
1,Investment Basics,John Smith,Marketing,65632,57,Female,USA,Medium,26.04,1,17.87,26.04,8.17,31.39,2024-10-08
2,Digital Marketing,Michael Brown,Leadership,27290,64,Female,Canada,High,14.14,4,6.72,56.56,29.67,52.46,2024-11-11
3,Digital Marketing,Sarah Johnson,Leadership,36136,34,Female,UK,Low,84.18,5,51.94,420.9,161.22,38.3,2023-03-31
4,Entrepreneur Mindset,Jessica Taylor,Finance,81270,32,Male,UK,Medium,84.71,5,54.83,423.55,149.41,35.27,2024-06-05
5,Startup Guide,John Smith,Leadership,12622,40,Male,Australia,Medium,78.12,5,31.3,390.6,234.08,59.93,2025-10-23
6,Financial Freedom,Sarah Johnson,Leadership,58773,25,Female,Canada,Low,44.69,8,32.49,357.52,97.63,27.31,2024-01-01
7,Leadership Secrets,Emily Davis,Business,57395,35,Female,Canada,Medium,64.6,4,45.22,258.4,77.51,29.99,2024-07-31
8,Marketing 101,John Smith,Marketing,88334,21,Female,Australia,Low,69.35,1,45.65,69.35,23.7,34.17,2025-01-23
9,Startup Guide,John Smith,Leadership,25792,51,Male,UK,Medium,27.37,5,15.94,136.85,57.15,41.76,2025-12-25
10,Financial Freedom,Jessica Taylor,Marketing,27301,61,Male,Australia,High,27.99,3,21.47,83.97,19.56,23.3,2024-03-14
11,Marketing 101,Michael Brown,Finance,89643,46,Female,USA,Low,88.0,2,49.52,176.0,76.95,43.72,2024-02-10
12,Investment Basics,Michael Brown,Finance,47133,46,Male,Germany,Medium,96.78,8,51.14,774.24,365.11,47.16,2023-10-10
13,Marketing 101,Sarah Johnson,Finance,63558,52,Female,Germany,Low,26.89,8,20.55,215.12,50.68,23.56,2023-07-05
14,Marketing 101,Michael Brown,Leadership,10512,54,Male,UK,Low,86.86,6,35.25,521.16,309.64,59.41,2025-09-23
15,Entrepreneur Mindset,Robert Wilson,Business,50849,64,Male,Australia,High,47.46,2,36.1,94.92,22.71,23.93,2024-11-25
16,Financial Freedom,Sarah Johnson,Leadership,58073,40,Female,USA,Medium,85.57,9,66.73,770.13,169.55,22.02,2024-12-01
17,Digital Marketing,Jessica Taylor,Marketing,10956,30,Male,USA,Medium,22.91,2,11.89,45.82,22.04,48.09,2023-08-25
18,Investment Basics,John Smith,Marketing,97083,30,Female,USA,Low,91.91,9,71.83,827.19,180.74,21.85,2024-09-24
19,Management Skills,Sarah Johnson,Business,17007,43,Male,Canada,Low,61.51,9,45.1,553.59,147.71,26.68,2024-03-19
20,Digital Marketing,Jessica Taylor,Marketing,93121,31,Male,Canada,Medium,46.63,5,34.15,233.15,62.41,26.77,2023-07-19
21,Entrepreneur Mindset,Emily Davis,Business,88104,45,Male,UK,Low,25.72,8,13.23,205.76,99.93,48.57,2023-01-10
22,Corporate Success,Sarah Johnson,Marketing,29473,44,Female,Australia,Medium,48.06,3,36.81,144.18,33.75,23.41,2025-09-21
23,Entrepreneur Mindset,Robert Wilson,Leadership,33619,63,Male,UK,Medium,11.05,4,5.06,44.2,23.95,54.18,2024-11-29
24,Financial Freedom,Emily Davis,Leadership,80380,67,Female,UK,Medium,68.61,2,37.1,137.22,63.02,45.93,2024-08-26
25,Corporate Success,John Smith,Finance,97066,39,Male,Germany,Low,28.83,6,21.58,172.98,43.48,25.14,2023-11-03
26,Entrepreneur Mindset,John Smith,Finance,49564,37,Female,USA,Low,85.32,2,43.29,170.64,84.06,49.26,2024-10-16
27,Management Skills,Jessica Taylor,Leadership,51178,22,Male,UK,Medium,15.88,3,8.82,47.64,21.18,44.45,2023-09-14
28,Leadership Secrets,Emily Davis,Leadership,68050,33,Male,USA,Medium,93.2,5,71.65,466.0,107.77,23.13,2023-12-24
29,Marketing 101,Jessica Taylor,Leadership,18355,44,Male,Canada,Medium,89.17,2,51.15,178.34,76.04,42.64,2024-03-16
30,Management Skills,Robert Wilson,Business,95971,47,Female,USA,Medium,93.41,3,52.79,280.23,121.85,43.48,2024-06-29
31,Marketing 101,Robert Wilson,Finance,90384,34,Male,USA,High,89.88,9,56.53,808.92,300.19,37.11,2025-11-30
32,Business Strategy,Jessica Taylor,Leadership,90147,35,Female,UK,Medium,69.81,8,39.15,558.48,245.3,43.92,2024-08-28
33,Entrepreneur Mindset,Sarah Johnson,Leadership,92544,51,Male,Germany,High,28.79,9,12.17,259.11,149.54,57.71,2024-12-18
34,Business Strategy,Robert Wilson,Leadership,81408,62,Male,Canada,Low,81.86,5,55.18,409.3,133.39,32.59,2024-12-10
35,Investment Basics,Sarah Johnson,Leadership,74939,50,Female,UK,Medium,27.09,4,15.55,108.36,46.17,42.61,2025-12-08
36,Digital Marketing,John Smith,Leadership,71575,42,Male,USA,Medium,42.2,7,17.83,295.4,170.56,57.74,2023-07-02
37,Entrepreneur Mindset,Jessica Taylor,Finance,99666,51,Male,USA,Medium,78.06,9,36.84,702.54,371.02,52.81,2024-03-01
38,Corporate Success,Emily Davis,Business,10407,22,Male,UK,High,71.06,7,47.01,497.42,168.37,33.85,2025-10-25
39,Startup Guide,Jessica Taylor,Leadership,22345,50,Female,UK,Low,48.77,4,37.49,195.08,45.11,23.12,2025-11-07
40,Financial Freedom,Robert Wilson,Marketing,28566,54,Female,Canada,High,27.9,1,12.05,27.9,15.85,56.82,2024-01-18
41,Business Strategy,John Smith,Business,77710,22,Male,Australia,Medium,86.89,2,42.86,173.78,88.07,50.68,2025-12-15
42,Investment Basics,Jessica Taylor,Leadership,40517,60,Male,USA,High,63.26,9,49.93,569.34,120.01,21.08,2025-06-13
43,Corporate Success,Emily Davis,Finance,56944,33,Female,USA,Medium,36.25,1,14.97,36.25,21.28,58.7,2025-10-26
44,Digital Marketing,Robert Wilson,Business,25030,58,Male,USA,Low,97.31,7,60.8,681.17,255.56,37.52,2024-07-31
45,Business Strategy,John Smith,Marketing,88547,43,Female,Germany,Medium,48.62,1,31.87,48.62,16.75,34.45,2025-03-10
46,Marketing 101,Sarah Johnson,Marketing,35741,37,Male,Canada,Low,91.79,1,40.79,91.79,51.0,55.57,2024-04-07
47,Management Skills,Jessica Taylor,Business,25672,32,Male,Germany,Low,37.83,3,22.31,113.49,46.55,41.01,2025-01-20
48,Digital Marketing,Emily Davis,Finance,47883,23,Male,Australia,Low,63.36,4,38.32,253.44,100.16,39.52,2024-07-03
49,Startup Guide,Sarah Johnson,Leadership,59826,18,Male,UK,High,88.36,9,47.55,795.24,367.25,46.18,2025-12-26
50,Financial Freedom,Jessica Taylor,Finance,26760,44,Male,UK,Medium,93.38,5,57.55,466.9,179.14,38.37,2024-07-26
51,Investment Basics,Michael Brown,Business,25145,52,Female,Germany,High,95.48,1,42.4,95.48,53.08,55.59,2023-11-23
52,Investment Basics,Robert Wilson,Business,10090,21,Female,Canada,Medium,16.06,9,9.13,144.54,62.41,43.18,2024-12-18
53,Business Strategy,John Smith,Leadership,80831,37,Female,UK,High,78.75,6,42.2,472.5,219.27,46.41,2025-03-14
54,Investment Basics,Robert Wilson,Leadership,51259,49,Female,Canada,Medium,30.96,8,20.55,247.68,83.3,33.63,2024-11-19
55,Investment Basics,Sarah Johnson,Leadership,75269,58,Male,UK,Low,76.29,2,38.01,152.58,76.56,50.18,2024-09-29
56,Management Skills,Jessica Taylor,Finance,58972,18,Male,USA,Medium,23.75,8,14.54,190.0,73.72,38.8,2024-01-31
57,Investment Basics,Robert Wilson,Finance,40213,68,Female,Germany,Low,68.16,7,50.68,477.12,122.37,25.65,2024-04-01
58,Leadership Secrets,Michael Brown,Marketing,65646,39,Female,UK,Low,70.19,8,50.2,561.52,159.9,28.48,2024-12-19
59,Corporate Success,Michael Brown,Leadership,23217,53,Female,Germany,Low,80.33,9,32.6,722.97,429.59,59.42,2024-06-14
60,Business Strategy,John Smith,Marketing,17817,36,Female,Australia,Low,65.47,2,44.79,130.94,41.36,31.59,2025-01-12
61,Leadership Secrets,Robert Wilson,Finance,12219,43,Female,UK,Medium,26.3,9,16.64,236.7,86.92,36.72,2023-11-08
62,Digital Marketing,Emily Davis,Finance,64879,23,Female,UK,Medium,39.16,9,19.17,352.44,179.9,51.04,2025-10-05
63,Digital Marketing,Sarah Johnson,Finance,89451,62,Male,UK,Medium,81.9,8,56.49,655.2,203.27,31.02,2024-10-29
64,Investment Basics,Robert Wilson,Finance,45854,64,Male,UK,Low,14.26,1,9.93,14.26,4.33,30.36,2025-10-26
65,Digital Marketing,Jessica Taylor,Leadership,82130,23,Male,UK,Medium,20.5,4,9.0,82.0,46.01,56.11,2025-04-10
66,Business Strategy,Jessica Taylor,Marketing,99089,27,Female,USA,High,25.79,8,12.15,206.32,109.09,52.87,2023-11-15
67,Corporate Success,Michael Brown,Leadership,59693,32,Female,UK,Medium,25.41,8,18.53,203.28,55.01,27.06,2024-05-09
68,Financial Freedom,Jessica Taylor,Finance,55234,60,Female,Germany,High,47.81,4,26.35,191.24,85.83,44.88,2025-12-18
69,Corporate Success,John Smith,Marketing,11287,44,Female,Germany,Low,67.5,2,49.22,135.0,36.55,27.08,2024-06-15
70,Startup Guide,John Smith,Leadership,88036,21,Male,Australia,Low,60.24,4,39.37,240.96,83.49,34.65,2024-03-04
71,Digital Marketing,John Smith,Business,76656,47,Female,Canada,Low,31.75,2,20.65,63.5,22.21,34.98,2023-02-10
72,Management Skills,John Smith,Finance,99761,18,Female,Germany,Medium,95.49,1,43.88,95.49,51.61,54.04,2025-03-04
73,Startup Guide,John Smith,Finance,23101,20,Female,Germany,Medium,63.02,8,30.35,504.16,261.39,51.85,2025-12-11
74,Leadership Secrets,Jessica Taylor,Business,66279,46,Female,Australia,Medium,72.19,8,41.7,577.52,243.94,42.24,2023-08-08
75,Financial Freedom,Robert Wilson,Finance,22920,59,Male,Canada,High,37.0,8,26.1,296.0,87.22,29.47,2024-12-20
76,Leadership Secrets,Sarah Johnson,Leadership,58895,30,Female,Canada,High,61.72,8,46.98,493.76,117.92,23.88,2024-02-15
77,Financial Freedom,John Smith,Business,31969,32,Female,Germany,High,94.69,6,66.81,568.14,167.28,29.44,2024-05-04
78,Corporate Success,Sarah Johnson,Leadership,46160,52,Female,Germany,Low,89.26,1,64.75,89.26,24.51,27.46,2025-07-17
79,Corporate Success,Emily Davis,Business,41295,36,Male,Australia,Medium,69.55,3,55.0,208.65,43.66,20.93,2025-05-29
80,Entrepreneur Mindset,Emily Davis,Finance,56028,53,Female,Canada,High,77.42,5,44.92,387.1,162.52,41.98,2023-08-15
81,Management Skills,Robert Wilson,Business,36509,21,Male,Canada,Low,31.64,3,21.91,94.92,29.2,30.76,2024-04-29
82,Entrepreneur Mindset,Jessica Taylor,Leadership,65723,28,Female,UK,High,31.1,9,14.59,279.9,148.55,53.07,2025-05-05
83,Digital Marketing,Robert Wilson,Leadership,70772,37,Female,UK,Medium,12.9,7,6.8,90.3,42.73,47.32,2023-02-28
84,Startup Guide,Sarah Johnson,Marketing,12515,46,Female,Australia,Low,32.62,3,21.37,97.86,33.75,34.49,2024-10-06
85,Business Strategy,Michael Brown,Marketing,88436,34,Male,UK,Medium,96.06,5,42.03,480.3,270.13,56.24,2025-07-07
86,Corporate Success,Michael Brown,Leadership,66000,36,Male,Germany,High,55.68,5,29.94,278.4,128.7,46.23,2025-10-13
87,Leadership Secrets,Robert Wilson,Business,34470,26,Female,Canada,High,80.75,7,59.7,565.25,147.33,26.07,2025-05-01
88,Marketing 101,Michael Brown,Business,17174,30,Male,USA,High,35.95,7,15.62,251.65,142.29,56.54,2025-02-20
89,Corporate Success,Jessica Taylor,Business,74753,59,Male,Germany,Medium,36.42,6,15.05,218.52,128.21,58.67,2024-03-18
90,Investment Basics,John Smith,Marketing,45975,39,Male,UK,High,34.1,9,16.19,306.9,161.21,52.53,2023-12-19
91,Management Skills,Jessica Taylor,Leadership,63174,56,Male,UK,Medium,15.32,6,11.05,91.92,25.64,27.89,2024-07-21
