Customer_ID,Customer_Age,Customer_Gender,Customer_Region,Corporate_Segment,Book_Category,Book_Title,Units_Sold,Unit_Cost,Unit_Price,Revenue,Profit,Profit_Margin,Purchase_Date
e92b3f70-b2ce-4241-82e5-341c86f17633,29,Male,Glasgow,SME,Technology,Marketing Strategy 2026,43,14.36,33.62,1445.84,828.21,0.57,2025-10-26
9ef2cfc8-7e0b-4954-90af-9b8081fc55cc,61,Female,Birmingham,Enterprise,Data Science,Advanced Python for Business,36,7.5,19.39,697.97,427.99,0.61,2024-06-28
3ee0199f-9443-4250-b46a-615f51e854f7,42,Male,Leeds,Enterprise,Data Science,Leadership Principles,2,23.05,42.13,84.26,38.16,0.45,2024-09-20
426fe28c-d80b-42e1-82ba-1f76b8311493,49,Female,Birmingham,SME,Leadership,Corporate Finance Guide,42,5.58,18.45,774.82,540.61,0.7,2024-08-12
22a3eab1-7748-4b37-810d-584f02d85da4,30,Male,Manchester,Corporate,Leadership,Advanced Python for Business,21,6.16,20.27,425.76,296.38,0.7,2025-06-11
9eb3f233-c57a-4a43-9c56-2e44617da0d2,41,Female,Leeds,SME,Leadership,Data Analytics Handbook,2,14.64,19.87,39.75,10.48,0.26,2025-06-19
23b38f95-8157-4255-84ed-7ece77f008b0,57,Female,Leeds,Enterprise,Technology,Leadership Principles,17,25.83,33.43,568.32,129.21,0.23,2025-05-01
03f67120-2b8b-47bb-9e14-e8a2b66052ca,55,Female,Leeds,Enterprise,Leadership,Corporate Finance Guide,26,9.62,29.17,758.29,508.14,0.67,2025-08-25
358e2891-00f1-45c1-9a32-9c278e77e1a1,39,Male,Glasgow,Enterprise,Finance,Leadership Principles,45,29.03,46.7,2101.38,795.06,0.38,2025-05-17
a12f5799-7636-4138-8a0d-0a5a0e9fccdb,36,Male,London,Corporate,Finance,Corporate Finance Guide,29,20.18,29.32,850.16,265.06,0.31,2025-03-15
2d2b8c2f-a103-42ea-b9d6-6fc7789729f3,38,Female,Birmingham,SME,Finance,Marketing Strategy 2026,11,9.97,15.05,165.56,55.91,0.34,2025-12-10
cb007cce-128d-4a4e-abc4-6adc6cd811b1,49,Male,London,Enterprise,Finance,Data Analytics Handbook,41,6.85,17.23,706.35,425.46,0.6,2025-05-27
fc82f3ec-d9c1-4ce7-9fe7-47e7a994e969,56,Male,Birmingham,Corporate,Marketing,Corporate Finance Guide,27,23.24,37.8,1020.69,393.21,0.39,2024-07-21
e810a360-3173-462f-853f-7d5d2d817c0f,60,Male,London,SME,Technology,Advanced Python for Business,14,23.04,31.58,442.16,119.56,0.27,2026-01-10
379f45f1-8de3-4b02-aaa3-a1d3c297004c,60,Male,Leeds,Corporate,Leadership,Data Analytics Handbook,32,15.98,24.01,768.29,256.83,0.33,2026-01-21
79103cc4-a64c-4def-85f4-e6b617485192,50,Female,Glasgow,SME,Marketing,Marketing Strategy 2026,43,11.23,22.39,962.69,479.7,0.5,2025-12-28
627245c3-35fe-4722-8117-8aa41a4aae69,27,Female,Leeds,Enterprise,Marketing,Advanced Python for Business,45,9.03,27.98,1258.92,852.55,0.68,2025-03-30
8fdcf411-7841-45f8-b5ef-1a1bf21a80cf,22,Male,Birmingham,Enterprise,Finance,Leadership Principles,33,8.05,18.4,607.09,341.37,0.56,2025-10-19
f1bc8046-35da-4c0a-a743-9c2675cdb0ba,29,Male,London,Enterprise,Data Science,Corporate Finance Guide,6,13.81,23.39,140.32,57.43,0.41,2024-05-23
382902f7-bc76-4a27-899a-79bbe80f48c1,53,Female,London,Corporate,Finance,Advanced Python for Business,15,8.0,18.06,270.91,150.96,0.56,2025-06-05
c4f79ae4-0e03-4323-9156-3a916b0747ef,24,Male,Glasgow,Corporate,Finance,Marketing Strategy 2026,2,29.06,37.84,75.68,17.55,0.23,2025-07-19
80aa8c6a-7b7e-4a05-8fff-5890d806517a,58,Female,London,Corporate,Marketing,Advanced Python for Business,23,20.24,32.78,753.92,288.42,0.38,2024-05-10
8479ac43-f67a-45ec-98f7-f055cad9fb17,53,Male,Leeds,SME,Marketing,Marketing Strategy 2026,6,18.27,29.99,179.94,70.3,0.39,2024-08-04
c28927ae-462a-4b88-8a3f-6ac341cb4684,55,Female,Birmingham,SME,Finance,Corporate Finance Guide,5,11.05,28.1,140.51,85.24,0.61,2024-07-02
40fade51-0ad7-47b1-9c86-e36727437b5d,24,Female,Leeds,SME,Leadership,Marketing Strategy 2026,29,13.02,20.82,603.7,226.14,0.37,2024-02-23
a38a8e15-0447-4082-bd8c-133855cbb2b1,53,Male,Leeds,Corporate,Finance,Advanced Python for Business,20,22.78,39.92,798.43,342.85,0.43,2025-02-25
2ed40493-1b48-4d25-b369-9ec35e0d7d88,44,Male,Manchester,SME,Leadership,Advanced Python for Business,25,25.94,41.08,1026.95,378.38,0.37,2024-08-19
13219289-2a56-4adc-a71e-fa273c77e443,23,Male,Leeds,Corporate,Data Science,Marketing Strategy 2026,49,29.55,42.3,2072.88,624.73,0.3,2026-02-11
0ecfbb38-122f-459d-af75-51ad04be6153,37,Male,Leeds,Enterprise,Finance,Leadership Principles,19,9.72,18.9,359.11,174.48,0.49,2024-05-30
c9defd24-a08e-4ad1-8a5d-c9eb86a903f3,61,Female,Birmingham,Enterprise,Finance,Marketing Strategy 2026,38,7.1,14.53,552.06,282.13,0.51,2025-04-13
fdaa4896-b585-4671-bcbc-7f38d2c3313d,39,Female,Birmingham,Corporate,Finance,Leadership Principles,46,29.34,38.6,1775.62,425.91,0.24,2024-03-18
652d63ff-c58d-41ca-841e-fa2552e29fec,41,Female,Birmingham,Corporate,Finance,Leadership Principles,21,22.8,31.36,658.63,179.73,0.27,2024-10-05
c54f2356-90a1-4345-a23f-6af6ba2c88a2,51,Female,Glasgow,SME,Marketing,Marketing Strategy 2026,22,17.72,32.27,709.84,319.99,0.45,2026-01-10
ddacb82e-5be9-43d9-bcbf-46c1bd4f8e02,54,Male,Leeds,Corporate,Marketing,Leadership Principles,28,24.87,37.41,1047.48,351.11,0.34,2026-01-12
0f189daa-b7c4-4ca5-b8e1-fce9e8d1ecdb,49,Female,Glasgow,Enterprise,Data Science,Marketing Strategy 2026,17,5.61,20.29,344.93,249.6,0.72,2024-08-21
98293235-d108-4cf1-8e2a-524999c9103d,52,Male,Leeds,Corporate,Leadership,Data Analytics Handbook,29,23.69,42.99,1246.68,559.59,0.45,2025-10-14
ab677dde-7d81-4ed7-bfce-e0c0fb89b043,39,Male,Manchester,SME,Technology,Marketing Strategy 2026,3,14.63,32.39,97.18,53.3,0.55,2025-05-10
4b6b29e3-a37c-4ddc-a750-98ba0cd852a9,43,Male,Manchester,SME,Marketing,Advanced Python for Business,32,19.25,25.71,822.69,206.64,0.25,2024-11-03
9e3211f4-ffa9-4e87-aaa7-8757f8ab1ef7,30,Male,Glasgow,Enterprise,Technology,Marketing Strategy 2026,33,26.93,43.05,1420.51,531.68,0.37,2025-12-09
05238402-8191-41f2-9fc3-32f9e85182a1,57,Male,Leeds,Corporate,Leadership,Marketing Strategy 2026,7,11.41,25.58,179.05,99.21,0.55,2025-09-24
88a3547e-4253-44e7-a16a-04730a9e63de,53,Male,Birmingham,Corporate,Technology,Data Analytics Handbook,2,13.45,24.08,48.17,21.27,0.44,2024-07-05
f4c68e3a-3b39-4a2a-b524-03f2b5a00779,63,Female,Birmingham,Corporate,Finance,Data Analytics Handbook,49,25.97,43.88,2150.09,877.4,0.41,2024-04-09
c2abb0f0-1019-4c18-adaa-a3a8c190b5ce,25,Female,Glasgow,Enterprise,Marketing,Leadership Principles,39,11.79,31.27,1219.43,759.67,0.62,2024-08-23
e9fa77ae-3fdc-4099-8c8f-ac1f0d1fea36,51,Male,London,SME,Marketing,Leadership Principles,42,8.32,27.86,1170.19,820.81,0.7,2024-12-27
45d61352-4c00-420d-9d20-2996aaaa925e,44,Male,London,Corporate,Finance,Advanced Python for Business,26,23.6,32.36,841.46,227.84,0.27,2025-08-30
fa7b8f76-851f-4295-98a0-86d4dd1e3e5b,46,Female,Glasgow,Corporate,Finance,Data Analytics Handbook,32,27.88,39.52,1264.5,372.33,0.29,2024-08-24
