Book,Author,Units_Sold,Price_per_Unit,Age_Group,Gender,Country,Customer_Type,Total_Sales,Cost_per_Unit,Total_Cost,Profit,Profit_Margin (%)
Fundamentals of Deep Learning - Buduma,Ian Goodfellow,42,41.01,60+,Female,France,Student,1722.4199999999998,20.60853600713588,865.5585122997069,856.861487700293,49.74753473022219
Grokking Deep Learning - Trask,David Foster,39,54.42,18-25,Female,Netherlands,Engineer,2122.38,24.76257440374763,965.7404017461577,1156.6395982538425,54.49729069506132
Generative Deep Learning - Foster,Andrew Trask,41,66.88,26-35,Other,USA,Professional,2742.08,26.889252770848767,1102.4593636047994,1639.6206363952006,59.794777555549096
Deep Learning from Scratch - Weidman,Andrew Trask,49,56.26,60+,Male,Australia,Engineer,2756.74,30.386327551153958,1488.930050006544,1267.8099499934558,45.98946400434774
Fundamentals of Deep Learning - Buduma,Seth Weidman,11,31.63,60+,Female,USA,Student,347.93,19.158149448777475,210.73964393655223,137.19035606344778,39.43044752204403
Dive into Deep Learning - Zhang,David Foster,39,73.43,18-25,Male,USA,Researcher,2863.7700000000004,34.35666339385393,1339.909872360303,1523.8601276396973,53.2116799756858
Hands-On Machine Learning - Geron,Seth Weidman,24,33.23,60+,Female,Netherlands,Student,797.52,14.605982287239996,350.5435748937599,446.9764251062401,56.045795103099614
Fundamentals of Deep Learning - Buduma,David Foster,46,77.79,60+,Male,Netherlands,Researcher,3578.34,51.816916527158746,2383.5781602493025,1194.7618397506976,33.38871766659114
Generative Deep Learning - Foster,Aston Zhang,19,31.26,60+,Female,UK,Researcher,593.94,15.083182316390568,286.5804640114208,307.35953598857924,51.74925682536606
Deep Learning from Scratch - Weidman,Ian Goodfellow,4,64.72,26-35,Other,India,Engineer,258.88,30.229662625894377,120.91865050357751,137.96134949642249,53.29162140622006
Grokking Deep Learning - Trask,Aston Zhang,26,34.11,18-25,Other,Netherlands,Engineer,886.86,22.414672983028268,582.7814975587349,304.0785024412651,34.28709181170253
Generative Deep Learning - Foster,Eli Stevens,38,75.53,60+,Male,USA,Engineer,2870.14,48.72682976001964,1851.6195308807464,1018.5204691192534,35.48678702499716
Generative Deep Learning - Foster,Michael Nielsen,42,53.22,60+,Female,France,Professional,2235.24,28.4462997483963,1194.7445894326445,1040.4954105673553,46.54960588426099
Hands-On Machine Learning - Geron,Aurelien Geron,32,36.88,26-35,Female,India,Engineer,1180.16,20.164938762836897,645.2780404107807,534.8819595892194,45.32283415716677
Neural Networks and Deep Learning - Nielsen,David Foster,39,47.04,18-25,Male,UK,Professional,1834.56,21.888869722617716,853.665919182091,980.894080817909,53.46753885497934
Deep Learning from Scratch - Weidman,Eli Stevens,45,38.24,36-45,Female,India,Engineer,1720.8000000000002,16.194276763741485,728.7424543683668,992.0575456316334,57.65094988561328
Deep Learning with Python - Chollet,Michael Nielsen,46,38.53,26-35,Male,Canada,Researcher,1772.38,22.04029846928609,1013.85372958716,758.5262704128401,42.79704523933017
Generative Deep Learning - Foster,Nithin Buduma,36,77.41,18-25,Female,Australia,Professional,2786.7599999999998,33.247864114089516,1196.9231081072226,1589.8368918927772,57.04965235229361
Neural Networks and Deep Learning - Nielsen,Ian Goodfellow,40,52.26,60+,Male,India,Student,2090.4,27.947726347186357,1117.9090538874543,972.4909461125458,46.521763591300505
