Book_ID,Book_Title,Category,Publication_Year,Age_Group,Gender,Income_Level,Region,Marketing_Channel,Ad_Spend,Units_Sold,Price,Cost,Revenue,Total_Cost,Profit,Profit_Margin (%)
1,Content Marketing,Digital,2015,18-25,Male,High,Birmingham,Instagram,16.2,308,59.25,30.38,18249.0,9357.039999999999,8891.960000000001,48.72573839662448
2,Marketing Analytics,Analytics,2020,26-35,Male,Low,Leeds,Google Ads,45.96,285,57.29,35.08,16327.65,9997.8,6329.85,38.767673241403386
3,Advertising Strategy,Social Media,2019,36-45,Female,Medium,London,Instagram,11.95,413,19.86,8.35,8202.18,3448.5499999999997,4753.630000000001,57.955689828801624
4,Brand Management,Analytics,2017,18-25,Male,Low,Birmingham,Facebook,33.2,286,53.77,24.92,15378.220000000001,7127.120000000001,8251.1,53.65445415659289
5,Content Marketing,Analytics,2021,18-25,Female,Low,Leeds,Facebook,6.3,347,45.22,32.79,15691.34,11378.13,4313.210000000001,27.48783724015923
6,Marketing Research,Analytics,2025,56+,Male,High,Glasgow,Google Ads,33.97,322,32.69,14.81,10526.179999999998,4768.82,5757.359999999999,54.69562557356989
7,Social Media Strategy,Analytics,2024,18-25,Male,Medium,Glasgow,Organic,17.47,187,37.03,18.27,6924.610000000001,3416.49,3508.120000000001,50.66162570888469
8,Content Marketing,Branding,2023,18-25,Male,High,London,Instagram,25.24,339,52.48,30.51,17790.719999999998,10342.890000000001,7447.829999999996,41.863567073170714
9,Advertising Strategy,Branding,2023,18-25,Female,High,Birmingham,Instagram,20.54,363,34.01,20.64,12345.63,7492.320000000001,4853.309999999999,39.311967068509254
10,Brand Management,SEO,2023,56+,Male,Low,Manchester,Google Ads,12.77,163,28.66,20.22,4671.58,3295.8599999999997,1375.7200000000003,29.448709002093516
11,Marketing Analytics,Digital,2016,36-45,Female,High,Birmingham,Google Ads,32.99,423,34.66,20.07,14661.179999999998,8489.61,6171.569999999998,42.09463358338141
12,Advertising Strategy,Analytics,2017,36-45,Male,Medium,Glasgow,Facebook,44.69,210,38.96,27.89,8181.6,5856.900000000001,2324.7,28.413757700205334
13,Advertising Strategy,SEO,2021,18-25,Male,High,Leeds,Email,48.16,375,19.45,12.59,7293.75,4721.25,2572.5,35.26992287917738
14,Social Media Strategy,Digital,2019,56+,Female,High,Manchester,Google Ads,13.66,124,55.05,24.51,6826.2,3039.2400000000002,3786.9599999999996,55.47683923705722
15,Email Marketing Guide,Social Media,2016,36-45,Female,High,London,Email,37.28,168,43.71,20.22,7343.28,3396.96,3946.3199999999997,53.74056280027454
16,Brand Management,Branding,2017,36-45,Female,Low,Manchester,Google Ads,34.9,51,41.66,23.95,2124.66,1221.45,903.2099999999998,42.51080172827652
17,SEO Mastery,Digital,2024,36-45,Female,Medium,London,Organic,20.45,256,14.97,8.36,3832.32,2140.16,1692.1600000000003,44.154976619906485
18,Advertising Strategy,Social Media,2020,56+,Female,Low,Manchester,Organic,5.86,77,40.21,28.04,3096.17,2159.08,937.0900000000001,30.266102959462827
19,Email Marketing Guide,Digital,2021,56+,Male,Low,London,Facebook,36.04,454,16.05,10.15,7286.700000000001,4608.1,2678.6000000000004,36.7601246105919
20,SEO Mastery,Branding,2023,18-25,Male,Low,London,Facebook,47.55,454,13.93,7.73,6324.22,3509.42,2814.8,44.50825556353195
21,Brand Management,Branding,2015,46-55,Female,Low,Manchester,Email,33.45,335,36.37,17.03,12183.949999999999,5705.05,6478.899999999999,53.17569425350563
22,Digital Marketing 101,SEO,2025,36-45,Male,Low,Manchester,Google Ads,24.59,343,30.14,14.79,10338.02,5072.969999999999,5265.050000000001,50.928998009289984
23,Marketing Research,Analytics,2021,46-55,Male,Medium,London,Instagram,28.63,205,39.44,24.86,8085.2,5096.3,2988.8999999999996,36.96754563894523
24,Email Marketing Guide,Digital,2022,56+,Male,High,Glasgow,Facebook,13.98,99,14.46,8.23,1431.5400000000002,814.7700000000001,616.7700000000001,43.08437067773168
25,Consumer Psychology,Digital,2017,56+,Female,Low,Manchester,Instagram,38.77,120,31.55,19.12,3786.0,2294.4,1491.6,39.39778129952456
26,Digital Marketing 101,Social Media,2018,56+,Male,Low,Birmingham,Instagram,38.59,377,18.74,8.78,7064.98,3310.06,3754.9199999999996,53.148345784418346
27,Marketing Research,Branding,2024,46-55,Male,Medium,Leeds,Google Ads,11.55,368,59.36,39.48,21844.48,14528.64,7315.84,33.49056603773585
28,Social Media Strategy,Digital,2020,56+,Male,Medium,London,Email,44.51,154,38.06,28.2,5861.240000000001,4342.8,1518.4400000000005,25.906463478717818
29,Content Marketing,Branding,2024,18-25,Female,High,London,Google Ads,17.11,284,44.37,22.33,12601.08,6341.719999999999,6259.360000000001,49.67320261437909
30,Marketing Analytics,Digital,2021,56+,Male,Medium,Leeds,Facebook,49.2,188,26.27,15.67,4938.76,2945.96,1992.8000000000002,40.35020936429387
31,Consumer Psychology,SEO,2018,26-35,Male,High,Glasgow,Instagram,22.23,250,14.74,11.65,3685.0,2912.5,772.5,20.963364993215738
32,Social Media Strategy,Analytics,2022,46-55,Female,Low,Leeds,Google Ads,13.0,335,58.79,31.35,19694.65,10502.25,9192.400000000001,46.67460452457902
33,Brand Management,Digital,2019,26-35,Female,Low,Manchester,Google Ads,20.83,328,24.31,15.51,7973.679999999999,5087.28,2886.3999999999996,36.199095022624434
34,Social Media Strategy,Branding,2015,56+,Male,High,Leeds,Google Ads,24.81,486,31.19,13.6,15158.34,6609.599999999999,8548.740000000002,56.39628085924977
35,Content Marketing,SEO,2018,18-25,Male,Medium,London,Facebook,8.12,340,42.49,27.3,14446.6,9282.0,5164.6,35.749588138385505
36,Brand Management,Digital,2017,36-45,Female,High,Leeds,Email,31.02,473,11.23,4.89,5311.79,2312.97,2998.82,56.45592163846839
37,Consumer Psychology,Social Media,2023,56+,Female,Medium,Birmingham,Google Ads,31.89,423,50.51,39.58,21365.73,16742.34,4623.389999999999,21.639279350623635
38,Content Marketing,Analytics,2022,18-25,Female,Low,Manchester,Facebook,38.25,162,36.83,25.28,5966.46,4095.36,1871.1,31.360304099918544
39,SEO Mastery,Digital,2015,46-55,Female,Medium,Leeds,Instagram,6.31,113,23.91,17.1,2701.83,1932.3000000000002,769.5299999999997,28.48180677540777
